category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_distance_to_origin,admiralty_info_credibility,rationale
social,Gagauzia identity Russian world 2024,en,youtube,Moldova: The National Gagauz Museum | European Journal,https://www.youtube.com/watch?v=PRJ6CUxqMCg,DW News,,,20101125,"Gagauzia is located in southern Moldova. It's a tiny, little-known autonomous region in Europe. A museum there is dedicated to chronicling the history of the Gagauz people, a Turkish ethnic group with their own language.In 1994, about 155,000 Gagauz peacefully secured the right to independence from Moldova. The region has its own parliament and laws. The head of the Gagauz National Museum sought to preserve the group's unique and common experience. She was recognized by the European Union for he",,,,,non_intel,0.98,['People'],news,B,c,3,"2010 cultural/museum feature; no relevance to current infrastructure performance, dependencies, or actors."
social,Gagauzia identity Russian world 2024,en,youtube,FACT CHECK: Pro-Russia governor of Gagauzia falsely claims Moldovans don’t want to join EU,https://www.youtube.com/watch?v=QDCWaDSqgXY,Voice of America,,,20240423,"Moldova is expected to hold a nation-wide referendum on membership in the European Union alongside presidential elections this fall. 

President Maia Sandu, who’s seeking reelection, has focused anti-corruption reforms and foreign policy on reducing Russian influence and distancing the nation from its Soviet past. She hopes joining the EU will “prevent future governments from derailing Moldova from its European trajectory.” 

An avid supporter of Ukraine, Sandu has been pursuing Moldova’s EU mem",,,,,non_intel,0.92,"['Events', 'Organisations']",news,B,c,2,"Fact-check on EU support claims; political attitudes, not infrastructure systems, capacities, or integration details."
social,Gagauzia identity Russian world 2024,en,youtube,Every family in Ukraine's Hroza village affected by missile attack | Russia-Ukraine war LIVE | WION,https://www.youtube.com/watch?v=bQUKM9N9-Kk,WION,,,20231006,"Russian drones attacked port infrastructure in Ukraine's Odesa region, damaging a grain silo in the Izmail district in the early hours of Friday, regional governor Oleh Kiper said.

#russiaukrainewar #ukraine #wion 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We de",,,,,non_intel,0.99,['Events'],news,C,c,2,Covers attacks on Ukrainian port facilities (Izmail); no direct Moldovan infrastructure content.
social,Gagauzia identity Russian world 2024,en,youtube,Russia-Ukraine war LIVE: Russian attack damages port infrastructure at Ukraine's Izmail | Wion,https://www.youtube.com/watch?v=iP2LeuuksY8,WION,,,20230907,"Russian drone strikes overnight damaged port infrastructure, a grain silo and administrative buildings in the Izmail district of Ukraine's southern Odesa region, the regional governor said on Thursday.

#russiaukrainewar   #NorthKorea #WIONLIVE

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on",,,,,non_intel,0.99,['Events'],news,C,c,2,"Reports damage to Ukrainian Izmail port infrastructure; outside Moldova, no actionable Moldovan infrastructure intel."
social,Gagauzia identity Russian world 2024,en,youtube,"This Is How Forgotten Christian Turks Live In Moldova 🇲🇩 Inside Gagauzia, Ceadir-Lunga",https://www.youtube.com/watch?v=rO6VATu_Hzs,Davud Akhundzada,,,20240823,"The Gagauz Turks are an ethnic group with a unique culture and language. They reside primarily in the autonomous region of Gagauzia, which is located in the southern part of Moldova. Gagauzia is known for its rich traditions, including vibrant folk music and distinctive cuisine. The people of Gagauzia are proud of their heritage and work hard to preserve their cultural identity. The region has its own flag, anthem, and even its own national day. Gagauzia is a fascinating place with a rich histor",,,,,non_intel,0.98,['People'],other,F,b,3,"Personal travel/culture vlog about Gagauzia; no infrastructure systems, performance data, or policy specifics."
social,Gagauzia identity Russian world 2024,en,youtube,"$400 Kisses From Christian Turk Babushkas In Gagauzia, Beșalma, Moldova 🇲🇩",https://www.youtube.com/watch?v=tR3xRitH9g0,Davud Akhundzada,,,20240821,"The Gagauz Turks are an ethnic group with a unique culture and language. They reside primarily in the autonomous region of Gagauzia, which is located in the southern part of Moldova. Gagauzia is known for its rich traditions, including vibrant folk music and distinctive cuisine. The people of Gagauzia are proud of their heritage and work hard to preserve their cultural identity. The region has its own flag, anthem, and even its own national day. Gagauzia is a fascinating place with a rich histor",,,,,non_intel,0.98,['People'],other,F,b,3,Lifestyle/cultural content; lacks any concrete infrastructure details or relevance to 2024–2025 systems.
social,Gagauzia identity Russian world 2024,en,youtube,Russia-Ukraine war LIVE: Russia launches overnight drone attack on Kyiv | WION LIVE,https://www.youtube.com/watch?v=Gk7qsM9M7P8,WION,,,20240729,"Russian drones attacked the southern Ukrainian port city of Izmail for a second straight night damaging infrastructure, several Russian attack drones entered Romanian airspace. Moscow has targeted ports in the southern Odesa region persistently since it exited an accord last year brokered by the United Nations and Turkey allowing Ukraine to export grain via the Black Sea.

#russiaukrainewar #putin #zelenskyy  

About Channel: 

WION The World is One News examines global issues with in-depth anal",,,,,non_intel,0.99,['Events'],news,C,c,3,Ukraine-focused live coverage (Kyiv/Izmail); no Moldovan infrastructure specifics.
social,Gagauzia identity Russian world 2024,en,youtube,Russian drone strike hits critical Ukrainian grain facility,https://www.youtube.com/watch?v=WJY_v8ZOab4,CNN,,,20230817,"Russian drone strikes hit grain facilities crucial for the global food supply.  The attack destroyed warehouses, granaries and other agricultural machinery in the port city of Reni, Ukraine.
  #CNN #News",,,,,non_intel,0.99,['Events'],news,B,c,2,Attack on Ukrainian port city Reni; outside Moldova and lacks Moldovan infrastructure insights.
social,Gagauzia identity Russian world 2024,en,youtube,Watch | Explosion Near Ukraine’s Izmail Seen From Romania,https://www.youtube.com/watch?v=ZfrW73pV1bs,CRUX,,,20240726,"On July 25, eyewitness footage from Plauru, a village on the Romanian side of the Danube River facing Ukraine, captured an explosion and smoke near the Ukrainian town of Izmail. Earlier reports indicated that drone fragments were discovered in the Romanian village following overnight Russian attacks on Ukrainian infrastructure. Local media G4Media released footage showing charred, uprooted trees and smoke where one of the drones had crashed. Romania's defense ministry confirmed finding fragments",,,,,non_intel,0.99,['Events'],news,C,c,3,Explosion near Izmail observed from Romania; not about Moldovan infrastructure or dependencies.
social,Transnistria social tensions 2024,en,youtube,Transnistria: Caught between Russia and the EU | DW Documentary,https://www.youtube.com/watch?v=8fblgbUI7t0,DW Documentary,,,20250926,"Officially, Transnistria is part of the Republic of Moldova. But in practice, it is a state within a state. After the collapse of the Soviet Union, the region seceded in a bloody civil war. It has its own flag, currency and government.

The self-proclaimed Republic of Transnistria is not internationally recognized. But it has been closely intertwined with Russia politically, economically and militarily for decades. Some 1,500 Russian soldiers are permanently stationed in the region. In spring 20",,,,,non_intel,0.9,"['Events', 'Organisations']",news,B,c,3,Transnistria overview documentary focuses on politics/security; no concrete Moldovan infrastructure systems or performance data.
social,Transnistria social tensions 2024,en,youtube,Ukraine tension poses threat to Transnistria,https://www.youtube.com/watch?v=Ota-ZZ0rHCk,Al Jazeera English,,,20140425,"Subscribe to our channel http://bit.ly/AJSubscribe

Subscribe to our channel http://bit.ly/AJSubscribe


Tension in the east is threatening stability in neighbouring Transnistria - a self-declared landlocked state between Ukraine and Moldova.  It's been trying to formalise its Soviet roots for years, and unite with Russia.

At Al Jazeera English, we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story an",,,,,non_intel,0.55,['Events'],news,B,c,3,"2014 video on general tensions; provides no concrete, verifiable details on Moldova’s infrastructure systems, dependencies, or capabilities relevant to 2024–2025."
social,Transnistria social tensions 2024,en,youtube,‘Blocked on both sides’: Transnistria residents fear for future • FRANCE 24 English,https://www.youtube.com/watch?v=uRjSeS9ftyM,FRANCE 24 English,,,20240308,"Separatist authorities in Transnistria, a breakaway pro-Russian region officially part of Moldova, recently asked Russia and the international community for economic protection following what they denounced as economic and social pressures imposed by Moldova. With the war in Ukraine also adding to ratcheting up tensions, some in Transnistria fear for the future of the region.
#Transnistria #Moldova #Russia

🔔 Subscribe to France 24 now: https://f24.my/YTen
🔴 LIVE - Watch FRANCE 24 English 24/7 h",,,,,non_intel,0.6,"['Organisations', 'Events']",news,B,c,3,"Focuses on residents’ fears and separatist authorities seeking Russia’s help; lacks specific infrastructure data (energy, transport, telecom) or quantified impacts."
social,Transnistria social tensions 2024,en,youtube,Moldova at the crossroads: tensions with Transnistria ahead of EU membership referendum,https://www.youtube.com/watch?v=R3o1g-rc_zo,euronews,,,20240930,"In October Moldovans will vote on making EU membership a constitutional goal. A 'yes' vote would put the pro-Western leadership on a collision course with the   Russia-leaning breakaway region in the east.  

READ MORE : https://www.euronews.com/2024/09/30/moldova-at-the-crossroads-tensions-with-transnistria-ahead-of-eu-membership-referendum

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to ",,,,,non_intel,0.58,"['Events', 'Organisations']",news,B,c,3,"Covers political tensions around a referendum; no actionable details on Moldova’s infrastructure assets, dependencies, or performance."
social,Transnistria social tensions 2024,en,youtube,Russia ‘alarmed’ by violence in Transnistria,https://www.youtube.com/watch?v=va_phH4LS-M,CGTN Europe,,,20220428,"Russia’s foreign ministry is ‘alarmed’ over ‘acts of terrorism’ in Moldova's breakaway region of Transnistria, where there have been several attacks this week. 

""We are alarmed by the escalation of tensions in Transnistria,"" foreign ministry spokeswoman Maria Zakharova said during her weekly briefing, pointing to reports of shootings and explosions. 

""We regard these actions as acts of terrorism aimed at destabilising the situation in the region and expect a thorough and objective investigatio",,,,,non_intel,0.5,['Events'],news,D,c,4,"Reports 2022 violence claims; lacks infrastructure specifics (e.g., grid, gas, transport). Older context, limited utility for 2024–2025 infrastructure analysis."
social,Transnistria social tensions 2024,en,youtube,TRANSNISTRIA | Russia or Moldova?,https://www.youtube.com/watch?v=3IO4Pbmt4lg,Prof James Ker-Lindsay,,,20220506,"The war in Ukraine has thrown a spotlight on the long-standing issue of Transnistria in neighbouring Moldova. With claims that Russia is considering a push on the breakaway territory, where it already has a contingent of troops, there are growing questions about the future of this de facto state. So, what is the Transnistrian dispute all about? And could we be about to see it resolved - peacefully or otherwise?

Hello and welcome! My name is James Ker-Lindsay. Here I take an informed look at Int",,,,,non_intel,0.52,['Areas'],other,C,c,3,"Explainer on the Transnistria dispute (2022). Educational but not providing concrete, current infrastructure systems data or operational dependencies."
social,Transnistria social tensions 2024,en,youtube,Transnistria: A Cold War Unfolds | Eastern Express,https://www.youtube.com/watch?v=2Cu4iCyVTAo,TVP WORLD,,,20250110,"Ever heard of Transnistria? In this episode of Eastern Express, we shine a spotlight on Moldova’s breakaway region, unraveling its complex history and geopolitical tensions. From Soviet nostalgia to stalled negotiations, this “frozen conflict” has far-reaching implications for European stability.
🔴 Watch our 24/7 livestream - https://youtube.com/live/bJUJyPN6YTM?feature=share

Bringing you all the latest daily news and updates, TVP World is Poland's first English-language channel where you can f",,,,,non_intel,0.55,['Events'],news,C,c,3,"General geopolitical overview (2025) without verifiable infrastructure details (assets, interconnections, capacities, outages, or policies)."
social,Transnistria social tensions 2024,en,youtube,Escalating Tensions In Moldova: Ukrainian-Backed Forces Strike Transnistria Military Base #ytshort,https://www.youtube.com/watch?v=7VOU9jitVAA,Nya360,,,20240319,"@Nya360-iv3vj   @ChillaTV701 
Follow us on social media:
Instagram, Threads & Twitter @Nya360_
Read Full story at: nya360.com.",,,,,non_intel,0.3,['Events'],other,F,f,6,Short claims a strike on a Transnistria base but provides no sourcing or infrastructure details; reliability and verifiability cannot be assessed.
social,Transnistria social tensions 2024,en,youtube,Transnistria: The Russian Backed Enclave of Moldova | SBS Dateline,https://www.youtube.com/watch?v=RiQ3sz22nVI,SBS Dateline,,,20220329,"A unique look into Transnistria, the Russian backed enclave of Moldova. There is an estimated 1500 soldiers stationed there, and some compare it with Donbass in Ukraine.  

Subscribe to Dateline: https://bit.ly/3gkQHtr 

Website http://www.sbs.com.au/news/dateline
Facebook https://www.facebook.com/DatelineSBS/
Twitter https://twitter.com/datelinesbs
Instagram https://www.instagram.com/datelinesbs/

Watch more Dateline, SBS 9.30pm Tuesday, and on SBS On Demand.

Dateline is an Australian award-wi",,,,,non_intel,0.56,['Areas'],news,B,c,3,"2022 documentary-style piece; offers background on the enclave but no actionable 2024–2025 infrastructure specifics (energy flows, grid control, etc.)."
social,Transnistria social tensions 2024,en,youtube,Moldovan breakaway region seeks Russia's help amid escalating tensions with pro-Western government,https://www.youtube.com/watch?v=0SvwXSyN510,euronews,,,20240228,"Transnistria is one of numerous European regions where Moscow claims ethnic Russians are under threat.

READ MORE : https://www.euronews.com/2024/02/28/moldovan-breakaway-region-seeks-russias-help-amid-escalating-tensions-with-pro-western-gov

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to our thematic channels:
NoComment: https://www.youtube.com/c/nocommenttv?sub_confirmation=1
Euronews G",,,,,non_intel,0.62,"['Organisations', 'Events']",news,B,c,3,"News on Transnistria seeking Russia’s help; lacks concrete infrastructure system details, capacities, or policy mechanisms affecting dependencies."
